QAS_File,Average Cosine,Highest Cosine,Median Cosine
All,0.40331164013344434,0.7332236496577118,0.39156761230196385
qas_82_table_1,0.3188326417906385,0.6528010939894131,0.3188326417906385
qas_82_table_2,0.3464729214460065,0.6109278358810167,0.3464729214460065
qas_82_table_3,0.39156761230196385,0.6013246014574691,0.39156761230196385
qas_82_table_4,0.38871687837986135,0.6224760799751128,0.38871687837986135
qas_32_table_1,0.3080944840534706,0.4468921085162931,0.3080944840534706
qas_32_table_2,0.3707267870877059,0.527777581080644,0.3707267870877059
qas_32_table_3,0.42059477487297864,0.5745974136775249,0.42059477487297864
qas_32_table_5,0.3797189068133143,0.5412981655214419,0.3797189068133143
qas_32_table_8,0.31244278765900046,0.4003266584627468,0.31244278765900046
qas_53_table_1,0.384635994814744,0.6384560378511357,0.384635994814744
qas_53_table_2,0.34945673002074784,0.5603969379672308,0.34945673002074784
qas_59_table_1,0.4812308674149444,0.6815005174062301,0.4812308674149444
qas_59_table_2,0.3934783256488018,0.5760004435389408,0.3934783256488018
qas_59_table_3,0.42785212098133396,0.609268762223308,0.42785212098133396
qas_59_table_4,0.45736352679787684,0.6681989231972127,0.45736352679787684
qas_29_table_1,0.5572206194209507,0.7332236496577118,0.5572206194209507
qas_29_table_2,0.4387109426495787,0.5921980371264357,0.4387109426495787
qas_29_table_3,0.49487135205854993,0.6422165977447816,0.49487135205854993
qas_29_table_4,0.32527461184704193,0.4516220967256716,0.32527461184704193
qas_29_table_5,0.3972488151143128,0.559589660203941,0.3972488151143128
qas_29_table_6,0.5250327416285068,0.7160519374024364,0.5250327416285068
