URL,csv_id
http://en.wikipedia.org/?curid=18424778,2-18424778-6.html.csv
http://en.wikipedia.org/?curid=1458666,2-1458666-4.html.csv
http://en.wikipedia.org/?curid=12164751,2-12164751-7.html.csv
http://en.wikipedia.org/?curid=27987623,1-27987623-1.html.csv
http://en.wikipedia.org/?curid=11036258,2-11036258-13.html.csv
http://en.wikipedia.org/?curid=11545282,2-11545282-4.html.csv
http://en.wikipedia.org/?curid=15715109,2-15715109-9.html.csv
http://en.wikipedia.org/?curid=2668420,1-2668420-17.html.csv
http://en.wikipedia.org/?curid=17245565,2-17245565-6.html.csv
http://en.wikipedia.org/?curid=11613207,2-11613207-1.html.csv
http://en.wikipedia.org/?curid=12275551,2-12275551-1.html.csv
http://en.wikipedia.org/?curid=10790804,2-10790804-13.html.csv
http://en.wikipedia.org/?curid=1123314,2-1123314-1.html.csv
http://en.wikipedia.org/?curid=14227676,2-14227676-3.html.csv
http://en.wikipedia.org/?curid=17814838,2-17814838-6.html.csv
http://en.wikipedia.org/?curid=13913673,2-13913673-5.html.csv
http://en.wikipedia.org/?curid=18379129,2-18379129-5.html.csv
http://en.wikipedia.org/?curid=13135264,2-13135264-6.html.csv
http://en.wikipedia.org/?curid=262534,1-262534-2.html.csv
http://en.wikipedia.org/?curid=18662679,2-18662679-7.html.csv
http://en.wikipedia.org/?curid=18842947,2-18842947-2.html.csv
http://en.wikipedia.org/?curid=10362162,2-10362162-2.html.csv
http://en.wikipedia.org/?curid=1219456,2-1219456-1.html.csv
http://en.wikipedia.org/?curid=1122485,2-1122485-2.html.csv
http://en.wikipedia.org/?curid=11025881,2-11025881-1.html.csv
http://en.wikipedia.org/?curid=2897457,1-2897457-3.html.csv
http://en.wikipedia.org/?curid=13649804,2-13649804-1.html.csv
http://en.wikipedia.org/?curid=16023753,2-16023753-2.html.csv
http://en.wikipedia.org/?curid=13962594,2-13962594-1.html.csv
http://en.wikipedia.org/?curid=14611590,2-14611590-3.html.csv
http://en.wikipedia.org/?curid=1554464,2-1554464-3.html.csv
http://en.wikipedia.org/?curid=15679690,2-15679690-3.html.csv
