URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=18268930,Aguaclara,b731e3a2-fbd5-496e-b483-6e5db338aa45,AguaClara,100,92,95
http://en.wikipedia.org/?curid=28805335,Bentley Falcons men's ice hockey - Career points leaders,d6a80dc9-e7bb-427a-be8e-14391b7a2277,Bentley Falcons men's ice hockey,73,95,86
http://en.wikipedia.org/?curid=27852884,Denver Pioneers men's lacrosse - Peter Barton Lacrosse Stadium,e8b45f3c-22b7-4824-b7a7-48c961bf57be,Denver Pioneers men's lacrosse,65,83,75
http://en.wikipedia.org/?curid=17814506,1961 Ohio State Buckeyes Football Team,0064602b-edbe-4dfa-836d-b02788256aeb,1961 Ohio State Buckeyes football team,100,34,60
http://en.wikipedia.org/?curid=7577577,List of best-selling singles - 15 million copies or more,41e3d106-0c91-4ac9-bd2f-0c57d72b2e33,List of best-selling singles,67,76,72
http://en.wikipedia.org/?curid=7577577,List of best-selling singles - 12–14.99 million copies,effbc45c-4901-458d-bbcc-9db4de36b74d,List of best-selling singles,68,59,62
http://en.wikipedia.org/?curid=2383181,List of governors of Tamil Nadu - Tamil Nadu,aac4aad4-e98b-447a-aab8-9431488f8dc4,List of governors of Tamil Nadu,83,28,50
http://en.wikipedia.org/?curid=27852884,Denver Pioneers men's lacrosse - Peter Barton Lacrosse Stadium,e8b45f3c-22b7-4824-b7a7-48c961bf57be,Denver Pioneers men's lacrosse,65,83,75
http://en.wikipedia.org/?curid=17416642,Salt Lake City - Professional sports,c438f042-93f3-48d5-b92b-920e6c6048d8,List of professional sports teams in Utah,60,36,45
http://en.wikipedia.org/?curid=16343705,List Of Vehicle Speed Records,63b4a413-0011-4379-ba7c-e34babdbea13,List of vehicle speed records,100,25,55
