URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=11474317,Alexandre Simoni,1b7f5a1b-6e93-48de-b2b0-bacd636db831,Alexandre Simoni,100,54,72
http://en.wikipedia.org/?curid=2349327,Olympic Club - U.S. Opens,d0e0cf4b-9e9a-40aa-8949-c22bf5443936,Olympic Club,65,87,78
http://en.wikipedia.org/?curid=7577577,List of best-selling singles - 6–6.9 million copies,4b4f4a57-59e2-4560-b522-d8f8c3c31ebd,List of best-selling singles,71,30,46
http://en.wikipedia.org/?curid=619949,"John Higgins - Minor-ranking finals: 6 (3 titles, 3 runners-up)",74dc46e2-e639-4281-9c24-621549615b05,John Higgins,32,96,70
http://en.wikipedia.org/?curid=1664918,Parken Stadium,838645cc-ebd5-4504-bf72-fb3868748f3b,Parken Stadium,100,88,92
http://en.wikipedia.org/?curid=15100051,List of NCAA conferences - Football Bowl Subdivision,4e0c5794-6706-406f-a77a-5c6dc38cc62c,NCAA Division I Football Bowl Subdivision,73,56,62
http://en.wikipedia.org/?curid=47077496,"List of mayors of South Bend, Indiana - ",9c8a8e76-80af-415e-a534-0535d7224a58,"List of mayors of South Bend, Indiana",96,46,66
http://en.wikipedia.org/?curid=1466144,"European Parliament Election , 2004 (Gibraltar)",422be1e9-272c-4cd9-97f8-131bd7da28d2,2004 European Parliament election in Gibraltar,84,38,56
http://en.wikipedia.org/?curid=15696653,Ireland In The Eurovision Song Contest 2000,3da5e881-fe15-48a7-9c46-7cb16415b217,Ireland in the Eurovision Song Contest 2000,100,34,60
http://en.wikipedia.org/?curid=17633162,2005 Anaprof,a8661cc6-5968-4433-be42-f82b82ce86f6,2005 ANAPROF,100,85,91
