URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=11152416,List of number-one singles of 2007 (France) - Singles and downloads,f6e02924-5243-4820-b669-5bf179eb6c16,List of number-one singles of 2007 (France),78,32,64
http://en.wikipedia.org/?curid=45506550,List of American Horror Story episodes - Season 5: Hotel (2015–16),900249eb-c564-4144-a38d-0337729d2dd3,American Horror Story: Hotel,60,6,43
http://en.wikipedia.org/?curid=17371779,1985 - 86 Utah Jazz Season,87d5446e-acf3-4eca-9e05-5fc2ed3115e3,1985–86 Utah Jazz season,92,77,87
http://en.wikipedia.org/?curid=20898186,2009 Buffalo Bills season - NFL Draft,9c8ffcdf-36ee-463d-97d6-59aa29e5534a,2009 Buffalo Bills season,81,95,85
http://en.wikipedia.org/?curid=14313979,List Of British Supercentenarians,b967020e-05ae-4bd5-a527-f50ea89dc8b7,List of British supercentenarians,100,23,76
http://en.wikipedia.org/?curid=33527910,List of flag bearers for Croatia at the Olympics - ,0180d90c-e8f0-498d-8f88-72b90a91fb02,List of flag bearers for Croatia at the Olympics,97,29,76
http://en.wikipedia.org/?curid=2540803,Soybean Oil,7c4d1f22-fece-40fa-93bb-c16ba2262703,Soybean oil,100,17,75
http://en.wikipedia.org/?curid=263651,Louis Armstrong New Orleans International Airport - Annual traffic,be789295-2dff-48ea-9e37-492b96dbfa93,Louis Armstrong New Orleans International Airport,85,23,66
http://en.wikipedia.org/?curid=18625531,Swimming at the 2008 Summer Olympics – Women's 100 metre butterfly - Final,c89c7d46-ff16-49a4-8f32-e6607b6521f7,Swimming at the 2008 Summer Olympics – Women's 100 ...,80,95,84
http://en.wikipedia.org/?curid=29141354,List Of A League Of Their Own Episodes,9b4fd21f-4629-4b17-a4a2-1da6dd69b231,List of A League of Their Own episodes,100,79,93
