TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,key column
0,UNKNOWN,PERSON,UNKNOWN,DATE,UNKNOWN,,1
1,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
2,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
3,UNKNOWN,PERSON,UNKNOWN,DATE,UNKNOWN,,0
4,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
6,UNKNOWN,PERSON,UNKNOWN,WORK_OF_ART,UNKNOWN,,1
7,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
8,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
9,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,1
10,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
11,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
12,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
13,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
14,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
15,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,0
