Page ID,LOGICNLG URL,ToTTo URL
1178691,http://en.wikipedia.org/?curid=1178691,http://en.wikipedia.org/wiki/List_of_counts_of_Burgundy
21979779,http://en.wikipedia.org/?curid=21979779,http://en.wikipedia.org/wiki/Veronica_Mars_(season_2)
2417445,http://en.wikipedia.org/?curid=2417445,http://en.wikipedia.org/wiki/54th_United_States_Congress
12161422,http://en.wikipedia.org/?curid=12161422,http://en.wikipedia.org/wiki/List_of_VFL/AFL_records
26222468,http://en.wikipedia.org/?curid=26222468,http://en.wikipedia.org/wiki/Jimmy_Eriksson
2941848,http://en.wikipedia.org/?curid=2941848,http://en.wikipedia.org/wiki/List_of_World_Series_broadcasters
17651049,http://en.wikipedia.org/?curid=17651049,http://en.wikipedia.org/wiki/Richard_Thompson_(sprinter)
28606933,http://en.wikipedia.org/?curid=28606933,http://en.wikipedia.org/wiki/List_of_most_consecutive_starts_and_games_played_by_National_Football_League_players
142178,http://en.wikipedia.org/?curid=142178,"http://en.wikipedia.org/wiki/Romney,_Hythe_and_Dymchurch_Railway"
17107550,http://en.wikipedia.org/?curid=17107550,http://en.wikipedia.org/wiki/Danny_Green_(basketball)
16882,http://en.wikipedia.org/?curid=16882,http://en.wikipedia.org/wiki/KLM
16389851,http://en.wikipedia.org/?curid=16389851,http://en.wikipedia.org/wiki/Dong_Hyun_Kim
18436335,http://en.wikipedia.org/?curid=18436335,http://en.wikipedia.org/wiki/2009_NASCAR_Sprint_Cup_Series
10790651,http://en.wikipedia.org/?curid=10790651,http://en.wikipedia.org/wiki/1935_VFL_season
1620397,http://en.wikipedia.org/?curid=1620397,http://en.wikipedia.org/wiki/List_of_Doctor_Who_audio_plays_by_Big_Finish
216655,http://en.wikipedia.org/?curid=216655,http://en.wikipedia.org/wiki/List_of_universities_and_colleges_in_Sweden
17265352,http://en.wikipedia.org/?curid=17265352,"http://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Rochester,_New_York"
19072602,http://en.wikipedia.org/?curid=19072602,http://en.wikipedia.org/wiki/2007_Weber_Cup
1217995,http://en.wikipedia.org/?curid=1217995,http://en.wikipedia.org/wiki/Hans-Joachim_Stuck
185700,http://en.wikipedia.org/?curid=185700,http://en.wikipedia.org/wiki/Eurovision_Song_Contest_1988
169662,http://en.wikipedia.org/?curid=169662,http://en.wikipedia.org/wiki/Tito_Ortiz
21607058,http://en.wikipedia.org/?curid=21607058,http://en.wikipedia.org/wiki/2009_Isle_of_Man_TT
1650348,http://en.wikipedia.org/?curid=1650348,http://en.wikipedia.org/wiki/List_of_longest_cable-stayed_bridge_spans
17419532,http://en.wikipedia.org/?curid=17419532,http://en.wikipedia.org/wiki/Convoys_ONS_20/ON_206
23338693,http://en.wikipedia.org/?curid=23338693,http://en.wikipedia.org/wiki/Alexander_Sims_(racing_driver)
10887379,http://en.wikipedia.org/?curid=10887379,http://en.wikipedia.org/wiki/1977_VFL_season
11926114,http://en.wikipedia.org/?curid=11926114,http://en.wikipedia.org/wiki/List_of_TVB_series_(2008)
10776868,http://en.wikipedia.org/?curid=10776868,http://en.wikipedia.org/wiki/1962_VFL_season
15164733,http://en.wikipedia.org/?curid=15164733,http://en.wikipedia.org/wiki/Idaho_Vandals_football
1649321,http://en.wikipedia.org/?curid=1649321,http://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
14594528,http://en.wikipedia.org/?curid=14594528,http://en.wikipedia.org/wiki/Xavier_Musketeers_men's_basketball
